2024-01-03 18:53:07,203 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:07,203 - sketch.py - loading sketch from models/mdp/sketches/rover/100-big/sketch.templ ...
2024-01-03 18:53:07,203 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:07,205 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:07,205 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:07,206 - prism_parser.py - loading properties from models/mdp/sketches/rover/100-big/sketch.props ...
2024-01-03 18:53:07,207 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,207 - jani.py - constructing JANI program...
2024-01-03 18:53:07,210 - jani.py - constructing the quotient...
2024-01-03 18:53:07,320 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:07,367 - sketch.py - sketch parsing OK
2024-01-03 18:53:07,367 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-03 18:53:07,367 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,375 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:07,425 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 1.334%, elapsed 588 s, estimated 44070 s (12 hours), iters = {MDP: 324351}
> Progress 1.34%, elapsed 591 s, estimated 44117 s (12 hours), iters = {MDP: 325660}
> Progress 1.345%, elapsed 594 s, estimated 44169 s (12 hours), iters = {MDP: 326926}
> Progress 1.35%, elapsed 597 s, estimated 44219 s (12 hours), iters = {MDP: 328207}
> Progress 1.356%, elapsed 600 s, estimated 44253 s (12 hours), iters = {MDP: 329607}
> Progress 1.362%, elapsed 603 s, estimated 44268 s (12 hours), iters = {MDP: 331141}
> Progress 1.369%, elapsed 606 s, estimated 44272 s (12 hours), iters = {MDP: 332759}
> Progress 1.376%, elapsed 609 s, estimated 44264 s (12 hours), iters = {MDP: 334464}
> Progress 1.382%, elapsed 612 s, estimated 44275 s (12 hours), iters = {MDP: 336024}
> Progress 1.389%, elapsed 615 s, estimated 44293 s (12 hours), iters = {MDP: 337535}
> Progress 1.394%, elapsed 618 s, estimated 44344 s (12 hours), iters = {MDP: 338790}
> Progress 1.399%, elapsed 621 s, estimated 44391 s (12 hours), iters = {MDP: 340078}
> Progress 1.404%, elapsed 624 s, estimated 44436 s (12 hours), iters = {MDP: 341375}
> Progress 1.412%, elapsed 627 s, estimated 44411 s (12 hours), iters = {MDP: 343212}
> Progress 1.42%, elapsed 630 s, estimated 44380 s (12 hours), iters = {MDP: 345092}
> Progress 1.425%, elapsed 633 s, estimated 44437 s (12 hours), iters = {MDP: 346287}
> Progress 1.429%, elapsed 636 s, estimated 44494 s (12 hours), iters = {MDP: 347485}
> Progress 1.435%, elapsed 639 s, estimated 44535 s (12 hours), iters = {MDP: 348806}
> Progress 1.44%, elapsed 642 s, estimated 44571 s (12 hours), iters = {MDP: 350156}
> Progress 1.446%, elapsed 645 s, estimated 44607 s (12 hours), iters = {MDP: 351514}
> Progress 1.452%, elapsed 648 s, estimated 44642 s (12 hours), iters = {MDP: 352871}
> Progress 1.459%, elapsed 651 s, estimated 44625 s (12 hours), iters = {MDP: 354639}
> Progress 1.467%, elapsed 654 s, estimated 44595 s (12 hours), iters = {MDP: 356507}
> Progress 1.472%, elapsed 657 s, estimated 44631 s (12 hours), iters = {MDP: 357856}
> Progress 1.478%, elapsed 660 s, estimated 44667 s (12 hours), iters = {MDP: 359201}
> Progress 1.483%, elapsed 663 s, estimated 44708 s (12 hours), iters = {MDP: 360505}
> Progress 1.489%, elapsed 666 s, estimated 44727 s (12 hours), iters = {MDP: 361979}
> Progress 1.496%, elapsed 669 s, estimated 44727 s (12 hours), iters = {MDP: 363609}
> Progress 1.505%, elapsed 672 s, estimated 44660 s (12 hours), iters = {MDP: 365786}
> Progress 1.514%, elapsed 675 s, estimated 44598 s (12 hours), iters = {MDP: 367937}
> Progress 1.521%, elapsed 678 s, estimated 44592 s (12 hours), iters = {MDP: 369620}
